"userAddress","nftOwned"
"0x854225ec76101bE493B34e6dD1cf956Bc273C672","minted"
"0xC29DC3AA20CB27679bbc13CF0fE823d015A6fA7F","minted"
"0x301Ff0a25EEB86dd8567Eda51651f5740631D941","minted"
"0x6A232C6e2b31cd118e0847CbF38a484365517fb8","minted"
"0x032f23420BeCe6F21f40086D76F5DB9aE7B9D1d0","minted"
"0x10320fea92ff1D32bf0B68cf4b9e43d2FAc2c399","minted"
"0xb8cD76b715FAb856FB3420A797dd5d509741e554","minted"
"0xA0E309507e038a9426373c0099102330660C057C","minted"
"0x5Cc35122B6f2eE687Cc511398ed6f08B18480307","minted"
"0x39d95B4B2450beEA8bef5c70fCf9B57A1A02EDae","minted"
"0xF5AdbFe1967a2E329dE2033cF2e3AA84e9af303c","minted"
"0xDC55567462dE667A87Ee024331188f6e27317c82","minted"
"0x33B10fAfae46FFA9C20a7E5435818e0b4a5B49B3","minted"
"0x2F545a8096F0E764Ae547cA05F5C3E9DB14082A6","minted"
"0x3F4553684fe0A401FA1257fCcBee518dc544a605","minted"
"0x792eDb670693216b52d9d558C1b40Ae93d607056","minted"
"0x02a69984CD0bd91fAa12B131D8FdF6f8748feA74","minted"
"0x3344bc6bc06D1a631cDf627c885033612Dd532B8","not_minted"
"0x600B9bD6d043e684971C5c9A7aaF4d734E7960AA","minted"
"0x22db8E856486Cd2CC1b658a841143534827d8D64","minted"
"0x20277264Be2A8E4C0E58e23aF03a1EF8fc314AeD","minted"
"0x2d94022e7bA34E81DA155CD83ee8f0Ec363b52f4","minted"
"0x3C7E868e2ee8DbA5d372c52Ec58C7e32cD3a1e9b","not_minted"
"0xfb430C396AE8aA96DbB967e3A8948Eab9393F09B","minted"
"0x9aD30fA07Ed29430AE6105e74c49CBb51aB6B65D","minted"
"0x7D86b605B705579A1bE3536379EcA672fC4440E4","not_minted"
"0x183243034257f0130fa76BE9Cd68E95976C864d8","minted"
"0x7Ed189e4aA3B9955c075c09792050b30D2B92a9d","minted"
"0x2E8DBF9E97a78b98B8fE75Ba38A637330C6c8BB0","minted"
"0x98D45089c612b0D1355551cc641E8eD2d4D7e1af","minted"
"0xf00fBF93Cb7BFD10ACe1Ddc6236787b4Df0D6Eef","minted"
"0x5c4B13329FA16E519feD5aBb85f378Fb634eC41e","minted"
"0x7C6e24d901DC52Ac897d63e7efbBf11325a9A048","minted"
"0x64145f745508915858298cd55d5558F3C142aBB9","minted"
"0x4BF8C35162f79F6A2cdfFeEA22425422EA06Ddd2","minted"
"0xE3Ab6FFdf280743d9B577901eBe8D75eE4Ec7D3A","minted"
"0x258f7B1AD8c65d93947D874b014c57e02a7D36b7","minted"
"0x7E0635d5a26b7dA6270cf1A705806A7344b66D45","minted"
"0x3eA672164F2A4d05075a0BdCBd21C80cEb65f2f8","minted"
"0x273d321DBB080d921960b1F77d36F5cad5547A8D","minted"
"0xa8946545078fd34e0dB2c92C3d281BF9Cf80542f","minted"
